ids,labels,parents,descriptions,website_1,jobs_id
Scope 1,Scope 1,,"You own something—a car, a boiler, a smokestack—that directly emits greenhouse gases into the atmosphere. Examples: Burning natural gas to heat a building; driving a company-owned car that burns gasoline.",-1,
Scope 2,Scope 2,,"You purchase electricity, which generated greenhouse gases while being produced (e.g. at a coal or natural gas plant). Examples: Purchasing electricity for your office or warehouse from a local utility.",-1,
Scope 3,Scope 3,,Everything else. Divided into “upstream” emissions (from the production and transportation of products and services you purchase) and “downstream” emissions (emissions from your customers when they use and dispose of your product). Examples: Shopify considers the impact of transporting a product from a merchant to a consumer; Square measures the carbon emitted when merchants use electricity to power a Square Register; sweetgreen counts methane emitted producing cheese served in its salads.,-1,
Resilience,Resilience,,"The biggest opportunities we see on the horizon are solutions for adaptation to “baked in” warming and the related weather, systems, and asset risks. This includes how we build Infrastructure so is the biggest area of investment and ROI that weighs against some of the biggest costs of innaction.",-1,
Scope 1_Fossil Fuel ,Fossil Fuel ,Scope 1,"You own something—a car, a boiler, a smokestack—that directly emits greenhouse gases into the atmosphere. Examples: Burning natural gas to heat a building; driving a company-owned car that burns gasoline.",-1,
Scope 1_Energy Waste,Energy Waste,Scope 1,"You own something—a car, a boiler, a smokestack—that directly emits greenhouse gases into the atmosphere. Examples: Burning natural gas to heat a building; driving a company-owned car that burns gasoline.",-1,
Scope 1_Fleet,Fleet,Scope 1,"You own something—a car, a boiler, a smokestack—that directly emits greenhouse gases into the atmosphere. Examples: Burning natural gas to heat a building; driving a company-owned car that burns gasoline.",-1,
Scope 2_Grid Energy,Grid Energy,Scope 2,"You purchase electricity, which generated greenhouse gases while being produced (e.g. at a coal or natural gas plant). Examples: Purchasing electricity for your office or warehouse from a local utility.
",-1,
Scope 2_Sustainable Energy,Sustainable Energy,Scope 2,"You purchase electricity, which generated greenhouse gases while being produced (e.g. at a coal or natural gas plant). Examples: Purchasing electricity for your office or warehouse from a local utility.
",-1,
Scope 2_Energy Savings,Energy Savings,Scope 2,"You purchase electricity, which generated greenhouse gases while being produced (e.g. at a coal or natural gas plant). Examples: Purchasing electricity for your office or warehouse from a local utility.
",-1,
Scope 3_Travel,Travel,Scope 3,"Everything else. Divided into “upstream” emissions (from the production and transportation of products and services you purchase) and “downstream” emissions (emissions from your customers when they use and dispose of your product).
Examples: Shopify considers the impact of transporting a product from a merchant to a consumer; Square measures the carbon emitted when merchants use electricity to power a Square Register; sweetgreen counts methane emitted producing cheese served in its salads.",-1,
Scope 3_Waste,Waste,Scope 3,"Everything else. Divided into “upstream” emissions (from the production and transportation of products and services you purchase) and “downstream” emissions (emissions from your customers when they use and dispose of your product).
Examples: Shopify considers the impact of transporting a product from a merchant to a consumer; Square measures the carbon emitted when merchants use electricity to power a Square Register; sweetgreen counts methane emitted producing cheese served in its salads.",-1,
Scope 3_T&D losses associated with purchased electricity,T&D losses associated with purchased electricity,Scope 3,"Everything else. Divided into “upstream” emissions (from the production and transportation of products and services you purchase) and “downstream” emissions (emissions from your customers when they use and dispose of your product).
Examples: Shopify considers the impact of transporting a product from a merchant to a consumer; Square measures the carbon emitted when merchants use electricity to power a Square Register; sweetgreen counts methane emitted producing cheese served in its salads.",-1,
Resilience_Disaster Modeling,Disaster Modeling,Resilience,"The biggest opportunities we see on the horizon are solutions for adaptation to “baked in” warming and the related weather, systems, and asset risks. This includes how we build Infrastructure so is the biggest area of investment and ROI that weighs against some of the biggest costs of innaction.
",-1,
Resilience_Disaster Response,Disaster Response,Resilience,"The biggest opportunities we see on the horizon are solutions for adaptation to “baked in” warming and the related weather, systems, and asset risks. This includes how we build Infrastructure so is the biggest area of investment and ROI that weighs against some of the biggest costs of innaction.
",-1,
